,pgc,filter,inc_m,model4_0,model4_1,model4_2,model4_3,model5_0,model5_1,model5_2,model5_3,model6_0,model6_1,model6_2,model6_3
30,50014,b'r',65,61.786655,60.85289,65.227234,57.936275,64.07959,64.53766,62.490498,67.83923,63.343582,60.20051,66.09078,60.28713
31,1614458,b'c',74,70.27246,73.30446,71.043846,74.84636,74.049675,72.991974,73.62189,70.81605,72.753006,72.60593,68.909096,71.95127
32,26334,b'g',68,65.1797,63.708366,65.05871,64.24005,62.930428,62.071037,65.64052,63.875496,64.74982,61.14427,61.47084,61.628105
33,71770,b'i',67,68.93869,68.00376,69.15388,71.71047,68.85077,71.33043,67.59668,69.395386,67.853546,71.13524,69.10388,68.45681
34,1676484,b'c',88,86.91591,88.1361,87.943085,86.37904,87.685974,86.74304,86.913826,86.88518,87.56502,86.93608,88.479225,88.135826
35,1321762,b'c',81,81.45116,81.198425,83.909515,82.114334,83.16643,82.9021,82.44921,81.86447,83.377396,83.36487,81.971405,81.92433
36,55839,b'c',80,80.54555,81.345345,82.775055,81.231674,81.9196,80.77413,80.54256,79.07588,81.012314,82.1015,81.95529,82.20512
37,4734,b'r',90,88.69705,89.18288,89.25821,87.630295,89.811874,89.96044,89.972275,89.98446,89.70346,89.16615,89.83935,89.447014
38,21623,b'c',52,50.673985,51.656693,51.117805,50.351074,50.70026,49.85637,51.711487,52.367672,52.667583,50.341427,50.76022,48.983833
39,1398577,b'r',88,88.205635,87.10588,88.517166,89.106674,86.70953,87.363434,87.00949,87.121895,88.777695,88.38077,88.53592,88.13387
40,66461,b'c',62,64.573746,62.731674,59.52383,62.634674,64.273415,62.795612,60.675125,63.69831,62.798393,61.862217,61.487473,62.02793
41,58483,b'c',71,68.76362,70.514206,68.65165,69.21745,71.759766,71.19914,70.38908,71.94709,67.781975,71.287544,66.88663,67.84438
42,47680,b'g',83,83.51489,85.64552,85.9306,84.64332,83.51427,82.60324,83.51628,83.06322,84.86391,84.63649,85.34753,85.960464
43,4100096,b'c',89,87.57803,87.031586,86.31351,88.226746,86.31958,87.27899,87.02537,87.06941,86.298615,86.65266,84.83635,87.18585
44,7917,b'c',82,79.93271,81.70999,83.4362,80.923805,81.314,78.76356,80.75167,82.60901,82.86886,81.205,83.27017,82.119064
45,5059377,b'r',62,57.69346,55.229294,63.822998,61.226395,63.077324,63.76004,64.88414,65.48201,58.996986,54.237133,55.8714,62.957817
46,1503704,b'g',83,85.31566,84.24074,85.656876,86.89495,86.793884,85.12331,85.2086,85.06485,87.03673,86.28534,86.79109,84.42963
47,40251,b'g',83,84.396866,80.6279,70.75324,80.86857,83.95491,84.49416,76.241264,83.963936,76.851036,86.58874,86.42238,86.97402
48,37719,b'c',72,76.888756,67.89729,76.17661,72.87115,75.000854,74.55408,74.20332,72.422104,67.41382,68.15573,70.28789,71.89228
49,67650,b'c',71,70.61695,71.55345,72.407074,70.76772,74.920616,73.112366,72.523384,74.77028,70.54907,74.31996,73.9648,72.12074
50,5076506,b'c',59,59.281876,60.413284,58.862923,57.4427,56.596848,57.32905,63.774925,61.34005,63.54727,60.054955,57.875114,61.522057
51,35877,b'r',71,69.97922,68.80397,69.353165,70.53505,70.05026,68.97101,67.08591,66.070496,69.12961,69.76041,70.75043,71.519295
52,22263,b'g',70,70.27848,72.656235,69.58798,72.5934,71.04255,74.63284,70.45566,72.49861,71.052765,71.97566,70.28392,72.36451
53,72145,b'i',51,53.13385,65.17195,63.332623,61.24064,58.415993,51.982628,55.238342,61.313507,59.048565,67.35548,66.423325,58.56945
54,5807645,b'c',79,71.68659,71.62184,75.09331,75.03642,72.63895,72.83519,71.40468,69.33918,74.78796,73.53087,74.49895,72.01665
55,53711,b'r',55,51.427856,51.95649,49.99412,54.742447,58.166798,51.559357,52.498066,57.346695,51.431793,49.796837,55.05251,53.151077
56,1421407,b'i',71,69.58735,71.80443,74.17399,68.87602,70.525665,70.63056,71.917435,71.73508,70.07894,70.44484,71.23274,71.3232
57,36241,b'c',49,47.94424,49.572735,49.259754,47.12916,51.18636,50.800117,49.937443,52.17767,48.582626,50.19273,48.968784,47.73799
58,42544,b'i',88,85.373886,86.14554,83.9098,87.87338,86.018234,84.7581,84.99374,85.66814,86.5441,84.92177,85.236374,86.18322
59,5059884,b'c',53,47.990986,49.572735,49.259754,49.688427,49.332012,47.40077,47.06903,47.131676,50.147987,49.070324,47.990784,48.498257
60,40251,b'c',83,83.81482,76.64294,69.120766,75.80995,87.18787,86.51001,85.85251,85.77597,80.139946,83.54002,73.32614,68.41914
61,27444,b'c',81,78.78058,80.52463,81.521484,80.98961,80.36965,79.94328,79.44899,80.366394,79.18913,80.16583,79.728615,79.36493
62,69857,b'c',53,52.971813,51.85561,55.265686,52.0803,53.762276,52.48153,55.466366,54.534782,50.911106,53.614258,52.301834,50.671234
63,169959,b'c',65,65.1797,63.19341,59.229828,59.618553,64.24157,63.363926,60.946125,61.75929,63.053257,65.7054,61.795586,53.60694
64,1368862,b'c',77,75.04953,77.42258,78.38108,76.66984,78.671875,78.390686,75.83937,77.67469,78.84281,81.06865,76.70166,76.35761
65,3996526,b'r',76,75.65532,76.58234,78.89786,77.42845,72.11433,74.99329,73.97861,75.94887,77.69581,73.83453,76.63846,75.78931
66,3089842,b'i',48,47.420425,49.572735,49.259754,48.646267,47.402573,46.076893,47.14953,47.812897,47.769283,48.109665,47.617203,47.190327
67,72604,b'c',65,63.529945,65.58541,66.54833,65.12683,64.559425,63.215065,63.387897,64.349846,62.89202,65.2836,64.08989,65.27725
68,4985,b'c',63,70.05396,70.32801,68.12912,71.667465,67.14317,71.19995,65.4086,68.984055,71.33438,69.870316,65.25197,68.861694
69,1323063,b'g',81,83.74449,86.437195,84.02606,84.06523,84.581726,82.07339,84.07772,83.41847,86.85348,84.42821,85.10998,86.08232
70,49315,b'c',76,72.91722,76.18705,73.47653,75.63961,73.65265,73.31195,72.22275,70.68629,74.49769,76.00225,72.1253,74.71986
71,32845,b'c',87,88.02942,87.05846,89.64398,88.297935,87.598236,88.958954,86.86882,88.9561,88.45065,89.62647,87.216354,89.09426
72,20363,b'g',51,54.751564,50.480896,49.259754,50.571827,48.52483,50.40244,51.453728,50.93876,51.33578,52.7901,51.81063,54.070465
73,50463,b'c',77,77.343414,76.07225,77.8389,77.31947,76.555435,75.506134,75.34173,75.93341,76.21872,77.61423,77.2654,75.438576
74,1516923,b'g',64,65.75663,71.855934,70.1821,76.41699,66.64863,67.530525,68.730385,68.56834,72.886894,72.04743,68.39103,70.080444
75,1759282,b'i',84,84.16487,84.74132,84.22481,83.970345,83.41591,84.490166,83.36758,84.69289,82.42656,83.20716,84.442276,84.108444
76,1466596,b'r',86,86.36466,88.142075,87.56551,88.4415,86.08643,85.399506,85.02191,86.74161,87.36757,85.824455,86.753716,87.055504
77,70720,b'i',80,81.6361,84.29118,79.273445,80.05667,80.02861,81.01686,79.71344,77.707245,78.936554,80.55049,78.31813,80.22507
78,5060156,b'c',85,84.73718,81.26399,84.017136,82.24428,82.22461,84.24916,84.53331,82.529625,83.3141,85.194595,83.3954,84.65262
79,83354,b'c',47,48.200485,49.572735,49.259754,48.11295,48.898262,48.25566,50.40795,47.6252,49.479366,47.794655,49.12891,46.851665
80,69016,b'g',85,86.72483,84.38698,83.46747,83.91197,86.39702,83.93043,83.31979,85.78009,86.94139,87.05008,83.60846,88.018326
81,36996,b'c',77,73.426605,74.99718,76.229485,74.50983,74.64481,73.76213,75.94595,76.11485,77.37836,75.17728,76.25354,75.24813
82,42404,b'c',47,49.069042,49.572735,49.453598,49.1034,49.467934,49.805416,48.444286,51.6406,51.639977,50.59281,51.644585,51.94246
83,50004,b'r',68,76.5862,73.74759,74.70435,73.780075,74.29267,74.84561,73.438934,73.36063,70.987976,79.16795,73.86486,72.73283
84,5688,b'i',89,85.13516,83.38271,84.93218,84.734695,86.611725,86.90473,86.69455,87.4749,86.152145,87.78386,85.753494,86.19629
85,5059569,b'c',65,59.46705,63.152664,62.30213,65.609505,60.3056,57.78141,60.886383,60.060913,63.851677,64.73692,55.93921,62.900833
86,71263,b'i',76,74.902756,76.40641,75.51305,75.07544,75.72005,74.00817,72.86156,72.28706,76.00685,73.55298,75.00132,73.51491
87,36644,b'c',54,55.580673,52.878067,54.006073,52.747334,54.632847,56.443256,54.164215,54.902267,54.86169,53.53177,52.483395,54.5404
88,4002462,b'c',88,86.036705,83.97534,84.53741,82.83217,88.0956,86.470985,87.63446,87.09254,86.42471,84.49742,85.03412,83.80165
89,39191,b'c',76,75.30488,73.73643,75.21963,74.51614,73.58823,77.48261,73.38667,71.86063,79.51581,75.346176,77.51036,70.580055
90,24967,b'i',78,78.37835,79.30279,79.84294,77.175285,77.62283,79.18859,78.26494,77.896706,77.769295,78.79547,76.16955,79.94026
91,57061,b'r',85,83.703,85.15065,87.67787,87.638565,83.809586,84.74809,82.38397,84.3638,85.12189,86.839874,85.489655,85.46319
92,25083,b'c',72,73.340454,74.389946,76.02926,73.29771,70.15311,70.62159,71.55848,72.705185,73.947586,74.783905,72.861824,72.43579
93,28590,b'c',55,51.704056,55.904755,56.49602,54.476852,54.108646,54.58645,56.370064,55.703846,55.084404,54.680317,55.27592,53.475273
94,71754,b'c',72,70.03297,67.29256,67.79863,66.139755,71.595856,70.418205,71.473946,68.12008,68.12578,70.11032,68.36954,69.20347
95,26899,b'g',88,87.05235,88.790695,88.063965,87.49472,88.751434,88.05903,88.68292,88.89113,87.57002,88.17957,85.71161,87.25555
96,36644,b'r',54,54.92981,57.129677,56.369675,52.010853,56.947136,52.165016,61.109497,59.664642,55.740875,58.79282,53.75365,50.896244
97,5807267,b'c',65,67.20214,57.12661,59.65339,60.92108,62.930428,60.08232,58.849243,61.362656,64.93309,65.70058,61.120132,60.640877
98,35300,b'i',51,47.574306,49.572735,51.123962,49.462364,50.876217,50.363,50.233593,50.36186,48.157585,48.534836,48.287464,48.07285
99,31388,b'c',75,69.111984,72.08174,72.06149,71.03704,72.8392,71.892204,73.379036,72.54554,73.96246,73.361786,70.955154,69.972374
100,28590,b'i',55,56.100132,58.513214,54.2091,57.855755,51.663948,51.60654,54.309357,50.95124,57.47291,55.066242,53.538326,48.26612
101,17326,b'r',79,76.78205,78.09125,80.863754,78.21304,81.552765,78.23988,79.03769,80.4905,76.55695,82.949066,81.9962,79.24299
102,5060156,b'r',85,82.092026,84.722885,82.17697,82.96098,83.44737,85.763275,84.64523,85.5833,85.95103,83.062965,85.25941,87.41984
103,1273842,b'c',84,82.358406,82.564926,81.98566,83.30822,81.99074,81.77132,81.27772,80.86021,85.214775,82.83627,82.43888,80.73254
104,5057344,b'i',73,67.21453,74.51002,75.21363,72.618256,69.79476,72.20227,69.153854,74.811134,68.75983,69.13565,75.70967,74.26549
105,55803,b'c',83,83.95265,86.34179,84.574905,83.84917,82.84975,84.248,84.18867,84.51312,85.060715,85.89207,85.204506,85.24
106,1352786,b'i',86,87.034836,86.662766,87.37587,85.679565,84.19057,85.38063,86.00948,85.75448,83.65761,85.137825,82.89508,85.56022
107,50609,b'c',61,62.170685,60.407013,63.44759,59.461403,59.43566,56.21434,58.27966,62.698288,61.144634,60.619537,61.046722,57.66937
108,5807471,b'c',87,86.15427,86.90166,88.42453,83.750786,88.02959,87.318924,86.876595,87.56554,86.610054,86.7558,86.97776,87.60542
109,51921,b'c',72,69.283554,71.97188,69.59832,71.44379,71.592384,67.52899,68.22534,69.55051,71.316475,72.6156,70.376274,72.45793
110,1585763,b'c',73,68.547966,69.79076,69.86252,70.84364,69.374825,70.01318,69.36684,69.61091,67.6902,70.62941,69.740585,67.92853
111,36787,b'c',78,81.526505,82.19615,81.21021,80.82824,80.099,78.11334,78.18962,76.39992,80.08394,81.03076,82.66324,82.08989
112,1496977,b'c',86,87.35018,88.48476,86.732285,87.94801,87.00156,86.567024,87.58,86.517746,86.38139,87.83867,86.912796,88.25485
113,26903,b'c',89,87.22871,87.50096,87.30385,87.564865,87.287865,87.15191,87.11882,87.82387,86.90256,87.44171,87.336716,88.88252
114,25432,b'g',69,70.18344,64.65237,67.13034,65.480934,67.23576,66.104126,67.12015,66.070496,66.350075,64.25671,69.08577,64.52825
115,90468,b'c',88,87.626434,88.37009,87.67975,87.59444,87.78614,87.02173,87.53048,86.07804,88.23243,88.28855,87.67998,88.16585
116,897,b'g',51,49.59905,53.130875,56.113804,49.207115,49.64585,50.776836,52.60963,53.782333,52.932255,50.70819,51.799366,49.432114
117,5057719,b'r',74,63.138153,74.406044,69.68002,68.22539,69.64226,68.58677,65.4086,69.38386,67.288574,78.7764,74.93058,69.292145
118,53028,b'c',53,51.7073,56.145218,54.1024,51.911083,50.066032,50.573547,52.97359,50.313942,51.555023,49.823654,54.374863,51.908382
119,1888821,b'i',84,87.283966,86.61482,88.22955,85.63049,86.26572,85.64101,86.0025,86.23162,87.71832,88.1929,87.57567,87.29112
120,1915535,b'c',74,72.514435,71.15462,73.21178,72.270676,70.66617,73.73375,71.06402,73.612045,72.654465,72.4179,70.013916,72.74594
121,5807402,b'r',56,61.745415,59.85759,63.39339,60.443005,58.964176,62.62281,57.829052,56.64264,60.175987,58.00082,61.686516,54.556038
122,13442,b'g',61,64.6911,64.32083,63.95194,68.75627,66.06681,60.54162,63.343315,62.03521,68.12669,60.82076,61.62281,65.3605
123,1336,b'c',74,74.42505,69.822845,73.749725,69.42458,74.46679,61.02058,59.82402,59.80662,78.92409,68.1584,76.09867,67.488266
124,54612,b'c',72,73.43017,73.88756,75.52177,73.82299,72.08669,72.03852,71.54147,73.95184,73.70097,72.448425,70.52642,73.132195
125,68685,b'g',73,69.288414,71.273125,72.4375,71.58717,71.575714,71.70445,70.58054,73.24326,69.40735,72.80904,70.87084,71.49085
126,87257,b'c',81,79.45493,80.94826,80.777176,82.873505,78.77371,79.63069,78.78728,78.14491,79.223755,79.92084,78.44452,81.70189
127,1695996,b'r',81,80.38307,78.15535,80.861595,77.715515,77.91823,76.806046,77.41087,79.18552,81.077156,78.20035,78.827545,80.34702
128,3636991,b'r',84,68.395195,74.33165,72.561295,73.39956,74.59724,75.39767,75.74521,77.12375,79.24773,76.41929,64.34691,84.2677
129,48684,b'r',74,73.2082,74.912796,75.72422,76.46393,73.2819,69.44801,75.14537,71.543884,74.306595,71.234665,72.769035,74.63738
130,8101,b'i',83,83.371765,84.551834,84.11778,83.50386,84.03046,84.137924,83.087585,82.66,83.34602,84.23459,83.291565,83.79962
131,31867,b'c',66,62.341293,65.48932,66.73308,66.07148,63.78526,62.423832,62.1183,64.527725,65.11372,65.07211,66.720795,64.9126
132,54095,b'i',67,66.69351,68.29924,69.78234,70.91377,69.27621,66.2755,65.60011,67.68231,66.911194,66.021904,67.113266,68.03076
133,35314,b'c',83,82.875206,85.26019,83.45285,84.4792,82.8945,81.80471,83.482376,83.59765,83.35075,83.36586,82.82252,86.37285
134,1233048,b'c',54,55.211197,52.08941,56.37484,51.693832,55.28549,53.720795,56.945965,57.834183,53.77269,54.17899,50.7617,51.14939
135,3395625,b'c',75,75.71733,78.14055,78.2348,79.48311,75.95847,75.34727,75.79517,76.398155,77.812546,77.23307,76.10426,77.66392
136,19877,b'c',89,80.06023,82.582184,80.765594,83.24017,79.44465,82.38081,80.59213,78.23453,80.59302,81.578835,78.63172,83.37781
137,5807550,b'c',89,88.57811,88.65592,88.155685,88.46001,87.547195,87.49643,86.57683,87.68361,88.500755,89.772964,88.84978,87.48769
138,26443,b'g',80,82.56917,79.81265,81.37146,80.5202,81.21596,80.67226,77.88673,80.51834,81.63923,80.71482,80.99721,82.162964
139,38682,b'c',77,74.645164,74.180275,75.79224,71.24845,73.334496,73.20964,73.05728,74.29144,74.476105,73.95927,73.84,73.49625
140,92888,b'c',86,83.70798,85.334755,83.87154,85.2518,85.1814,83.31738,83.36571,84.7469,82.57401,85.10227,83.90961,81.67442
141,1545319,b'i',80,85.1309,83.22438,82.34433,83.737465,83.31398,80.44241,78.30743,81.473724,83.627914,83.07943,82.67671,80.8163
142,4016071,b'r',82,82.495255,83.818985,83.62463,81.77046,82.203545,81.53583,82.660164,82.923775,83.531525,83.21652,81.007645,84.22159
143,30885,b'c',88,88.13045,88.73964,87.79731,88.26217,87.74362,87.351875,87.780464,86.66228,88.56224,88.673615,87.040436,88.654434
144,4088724,b'c',90,89.86905,89.71414,89.590614,89.49895,89.810936,89.631134,89.57216,89.81471,89.813156,89.72704,89.683105,89.07274
145,1252002,b'c',84,86.581604,86.6138,86.09839,86.45444,85.226326,85.92434,83.21285,86.093185,86.6799,86.070984,85.72715,86.79828
146,20151,b'r',68,68.411514,62.912704,63.350468,64.309364,69.471054,64.41781,65.4086,61.078934,64.940994,76.86812,69.005714,65.972946
147,54470,b'c',89,86.04874,87.51017,87.441284,89.39082,86.9782,85.03779,87.4719,88.25369,89.34619,88.761635,88.44618,89.83856
148,1261586,b'c',88,86.124985,87.58141,85.0259,87.77112,85.14195,85.29916,84.70715,86.72083,86.26813,85.0565,86.19199,86.07352
149,5081568,b'g',71,71.74551,69.14928,65.8584,66.14073,70.863625,71.306175,68.64451,68.520584,69.30766,67.428024,70.83479,67.928604
150,71915,b'i',47,48.137363,51.119007,49.259754,48.730053,48.66073,48.948696,48.798836,47.99412,48.104332,49.80923,49.250645,48.515503
151,7327,b'r',56,54.77129,65.4825,58.87373,58.97604,63.936546,61.1767,59.601223,57.958656,59.942932,60.752266,55.26276,59.52201
152,1234821,b'i',86,85.0347,82.90101,80.78183,81.083046,83.174866,83.564575,83.882385,82.642426,82.56631,83.00394,84.01577,81.0009
153,1737674,b'c',73,78.78128,75.46904,77.505615,76.910034,76.65726,73.66182,77.691925,74.74835,78.29161,76.46844,77.90518,77.123535
154,42355,b'c',49,49.561146,49.572735,50.98543,52.18948,50.007847,49.767265,49.95085,50.338524,48.94949,52.470413,47.64869,48.336277
155,30850,b'c',53,54.216984,56.017128,59.261383,56.17652,55.77323,53.94465,56.442574,55.032196,55.220284,56.708,58.921722,56.41214
156,24591,b'c',53,47.898624,49.572735,49.259754,51.250195,50.128063,52.08782,50.72809,48.737793,48.878014,47.787437,50.10936,48.099205
157,36787,b'i',78,81.07533,80.41051,78.519775,79.12352,77.78772,80.309685,79.4588,80.19007,79.415405,77.94401,79.011795,82.2551
158,54877,b'i',71,66.00542,66.13245,80.09592,67.83753,60.091137,70.67522,62.800854,68.54195,62.387493,59.037975,67.78955,61.31701
159,50391,b'g',85,87.57579,88.700714,88.000885,87.53937,85.20291,85.2272,85.00914,85.392914,86.864944,87.886826,85.1815,87.713715
160,5450,b'c',69,66.18857,68.52225,70.91141,68.786385,67.91742,66.472496,68.64158,69.549286,71.267555,69.5148,66.79718,67.723465
161,22753,b'c',69,61.86452,60.297523,66.59477,55.783726,60.691246,59.862328,63.747597,62.166595,61.453224,62.31679,61.567284,59.829185
162,89518,b'i',90,88.64606,89.470474,89.24559,89.43744,88.91543,88.09248,88.85782,88.34417,88.533714,88.51785,88.77545,89.23088
163,1669105,b'i',59,64.71394,63.352707,60.47232,60.344925,64.20715,60.851624,57.781956,59.991573,54.936848,68.922905,66.88642,62.453644
164,5807305,b'i',76,69.23006,75.29154,68.85156,72.701935,71.316605,68.251434,72.52165,72.574776,72.084656,74.1122,73.74951,69.29545
165,64569,b'c',78,76.07142,74.61322,77.56188,73.350174,77.21016,77.72956,77.60162,75.825455,76.44053,76.696396,78.06107,75.57021
166,5058984,b'c',72,72.13073,69.86095,70.2807,72.57892,75.42897,73.19361,70.16275,74.15066,73.264984,73.16395,71.14127,75.166275
167,52587,b'c',75,71.70003,74.27947,74.98136,75.41975,72.58502,68.701294,70.44003,74.72475,72.20668,70.81967,73.15332,73.13755
168,86922,b'c',88,86.89327,86.00017,87.53978,87.47327,87.65411,87.400536,85.88119,87.54117,87.03143,85.82248,86.184814,87.6203
169,10928,b'r',72,72.31062,71.577194,70.53097,71.294235,75.15233,74.47399,75.618774,71.03697,73.42069,71.628876,71.36802,72.83867
170,1797544,b'c',88,85.9829,86.933685,86.62288,87.31607,86.735176,86.45413,85.78105,86.36798,88.22142,85.66925,86.92363,86.9171
171,52832,b'r',48,49.02025,49.827065,51.366356,51.38424,48.785576,48.547226,50.866337,49.174892,50.77765,53.239998,52.88292,48.479836
172,1710134,b'c',88,86.92178,84.79712,87.36853,85.5592,87.90048,87.00423,87.04741,84.88553,87.76416,86.248245,87.66943,87.61149
173,7960,b'i',89,88.08276,88.46361,88.952896,89.29892,88.76871,88.02948,88.62156,88.444534,88.76225,88.42382,88.55589,89.62436
174,4274626,b'c',86,85.5589,84.50627,86.20928,83.36938,86.75322,87.66699,86.47635,85.48227,85.53822,85.87109,85.82137,85.85734
175,5321,b'r',52,59.279152,55.640137,59.868942,57.788555,54.764793,57.829445,58.625412,56.935207,58.60192,59.702606,54.489006,56.695297
176,71421,b'g',69,71.44862,67.04639,69.796265,68.95774,69.0446,69.83448,69.79599,69.69858,70.03085,67.204704,70.65231,69.00846
177,86322,b'g',83,87.813156,85.94487,87.62632,86.894615,85.73743,85.48128,85.03424,86.956825,85.17248,84.78211,87.310486,85.85857
178,11718,b'r',72,71.528244,73.863525,72.37274,75.73182,74.3752,71.71078,72.43857,70.95652,72.98789,75.00372,72.88921,74.35145
179,1713790,b'c',76,77.34205,75.569565,76.981964,78.91033,76.536934,75.73523,76.3507,75.661705,76.07593,76.97456,75.151436,79.39026
180,5057638,b'r',63,62.16193,63.5918,66.990585,60.929417,64.48139,64.489716,66.2063,65.73243,61.361755,63.63343,66.50009,66.87598
181,37845,b'c',51,74.07681,73.39951,71.023865,84.54167,70.94761,81.42325,73.2501,89.32285,72.30933,74.56014,83.70314,85.59211
182,48684,b'c',74,72.43828,75.292496,75.4588,72.321686,73.3239,73.88878,71.926216,72.946014,73.319145,73.72631,71.749115,74.00102
183,67406,b'c',64,63.233673,63.475727,66.11946,63.025253,62.930428,62.500412,64.21371,66.35559,63.620216,65.25701,61.62281,62.287575
184,3614413,b'c',51,49.03241,50.30702,51.368427,48.623974,49.07452,48.426624,50.140434,48.481102,51.484215,50.286007,51.98885,49.090282
185,5688,b'c',89,84.645355,87.30777,85.72664,85.15312,88.54852,89.38086,87.91223,88.536606,85.574295,87.58916,88.183334,87.0845
186,1614444,b'r',86,86.93425,87.47478,86.56649,85.62462,87.54304,86.0227,86.60754,86.94472,85.88713,85.73939,85.66002,86.32701
187,4916,b'g',63,67.181625,62.411797,63.69171,58.57009,65.39304,67.07673,60.27952,67.26702,65.296326,66.95092,67.995514,62.634766
188,93727,b'r',77,79.18705,82.321976,76.35482,78.17224,77.05071,77.10279,74.13976,75.61856,83.2909,79.80657,78.33192,79.37316
189,24557,b'c',81,81.54848,80.03771,80.73357,80.287506,81.34523,80.58133,79.898445,79.49295,83.24669,82.065094,81.07379,81.427246
190,4734,b'c',90,87.78731,87.93967,88.1033,89.42865,89.59225,88.67404,88.7684,89.501175,89.714676,89.29111,89.29015,88.99002
191,4095638,b'g',73,71.861084,72.81007,73.21132,72.521706,72.84407,72.38315,71.0495,71.67282,72.339645,74.64964,71.55197,71.01028
192,5059211,b'c',52,50.33271,50.779736,52.593452,53.63164,56.29295,52.629215,56.093353,54.213867,52.34088,51.519028,52.390488,49.732677
193,1491855,b'c',69,67.42399,66.67586,61.24977,67.769035,68.145386,65.52123,65.8734,63.369625,66.555275,66.6145,66.439156,63.131096
